Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
0,37.204,37.204,29.521,-1118.082,-0.081
1,44.755,44.755,36.582,-542.296,0.191
2,30.354,30.354,19.491,-582.567,0.08
3,10.095,10.095,19.491,-319.435,77.484
4,31.074,31.074,21.389,-1085.556,-0.039
5,18.662,18.662,21.389,-35.732,25.873
6,43.507,43.507,35.243,-1140.972,-0.24
7,39.895,39.895,31.28,-1125.121,-0.214
8,13.855,13.855,31.28,-192.953,63.569
9,14.623,14.623,31.28,-166.56,56.366
10,14.879,14.879,31.28,-154.15,55.263
11,43.293,43.293,35.195,-598.318,0.038
12,25.581,25.581,13.595,-1054.38,-0.073
13,27.19,27.19,16.306,-1065.224,-0.078
14,35.978,35.978,27.562,-1110.249,-0.163
15,23.22,23.22,8.521,-1034.082,-0.029
16,13.064,13.064,8.521,-211.495,65.019
17,15.848,15.848,8.521,-96.709,44.491
18,37.389,37.389,29.047,-1116.19,-0.108
19,34.017,34.017,25.28,-1101.12,-0.011
20,29.442,28.779,18.759,-598.916,0.036
21,24.749,24.749,12.236,-1048.943,-0.056
22,44.677,44.677,36.711,-538.38,0.202
23,12.488,12.488,36.711,-248.061,67.745
24,24.092,24.092,11.438,-601.067,0.031
25,21.324,21.324,2.845,0,8.617
26,31.183,31.183,20.997,-570.104,0.113
27,18.317,18.317,20.997,-58.991,29.844
28,13.12,13.12,20.997,-177.907,62.354
29,12.963,12.963,20.997,-214.682,65.263
30,36.296,36.296,26.878,-1107.511,-0.348
31,17.975,17.975,26.878,-40.293,31.785
32,37.477,37.477,29.266,-591.166,0.057
33,18.356,18.356,29.266,-38.42,31.472
34,37.459,36.726,28.486,-1113.944,-0.128
35,43.605,42.832,36.201,-1144.806,-0.303
36,20.617,20.617,0.002,-2.306,11.354
37,9.298,9.298,0.002,-296.177,81.033
38,34.144,34.144,24.602,-602.871,0.026
39,31.713,31.713,21.866,-606.626,0.017
40,15.225,15.225,21.866,-135.018,53.493
41,7.495,7.495,21.866,-398.614,87.157
42,30.589,30.589,19.354,-584.453,0.075
43,17.093,17.093,19.354,-77.195,37.176
44,7.387,7.387,19.354,-379.11,86.041
45,20.696,20.696,19.354,-13.491,15.721
46,16.197,16.197,19.354,-105.308,45.448
47,24.937,24.937,13.436,-608.876,0.011
48,18.999,18.999,13.436,-39.248,26.529
49,16.448,16.448,13.436,-74.075,41.811
50,10.843,10.843,13.436,-248.503,72.767
51,30.643,29.967,20.844,-571.569,0.109
52,9.982,9.982,20.844,-323.226,77.724
53,13.512,13.512,20.844,-167.547,61.497
54,31.545,31.545,21.914,-1087.657,-0.027
55,44.978,44.978,36.943,-1147.773,-0.269
56,40.78,40.78,32.763,-1131.054,-0.434
57,40.953,40.196,32.541,-511.617,0.282
58,16.246,16.246,32.541,-104.319,50.451
59,44.938,44.938,36.282,-550.171,0.169
60,14.43,14.43,36.282,-113.765,51.417
61,36.194,36.194,26.696,-581.985,0.081
62,22.085,22.085,4.752,0,5.647
63,34.622,34.622,25.362,-555.041,0.155
64,10.307,10.307,25.362,-325.814,77.888
65,18.931,18.931,25.362,-36.968,31.226
66,35.139,35.139,26.526,-574.139,0.102
67,18.96,18.96,26.526,-36.669,31.175
68,27.384,27.384,15.799,-591.872,0.055
69,20.592,20.592,0.004,-9.064,14.243
70,9.417,9.417,0.004,-288.435,80.541
71,18.712,18.712,0.004,-37.432,26.194
72,31.335,31.335,20.931,-1083.725,-0.112
73,23.949,23.949,11.625,-606.116,0.018
74,32.824,32.824,23.011,-1092.045,-0.235
75,19.623,19.623,23.011,-19.101,22.361
76,17.49,17.49,23.011,-67.821,41.022
77,11.498,11.498,23.011,-269.816,69.292
78,31.823,31.823,21.503,-549.331,0.171
79,30.49,30.49,20.477,-1081.907,-0.174
80,8.746,8.477,20.477,-359.882,79.993
81,34.705,34.705,26.171,-572.959,0.106
82,13.712,13.712,26.171,-168.819,61.603
83,14.177,14.177,26.171,-104.208,50.44
84,37.646,36.911,29.297,-1117.19,-0.202
85,11.423,11.423,29.297,-226.874,71.233
86,31.538,31.538,21.75,-1086.998,-0.03
87,33.708,33.708,24.525,-1098.1,-0.074
88,19.265,19.265,24.525,-22.25,23.091
89,13.574,13.574,24.525,-167.385,61.483
90,29.532,28.869,19.339,-1077.355,-0.116
91,40.442,40.442,32.217,-600.361,0.033
92,39.533,39.533,30.548,-1122.193,-0.106
93,8.737,8.737,30.548,-353.176,84.523
94,35.739,35.739,26.597,-1106.389,-0.105
95,29.744,29.744,19.254,-1077.017,-0.003
96,26.903,26.903,14.588,-1058.351,-0.063
97,44.328,44.328,36.374,-1145.494,-0.471
98,25.308,24.695,13.757,-1055.028,-0.076
99,22.567,22.567,6.698,-1026.791,-0.001
100,31.312,31.312,21.673,-1086.691,-0.026
101,16.919,16.919,21.673,-90.233,43.75
102,42.448,42.448,34.59,-610.752,0.006
103,20.46,20.46,34.59,-19.735,17.513
104,12.327,12.327,34.59,-219.303,65.615
105,27.324,27.324,15.769,-1063.076,-0.218
106,18.954,18.452,15.769,-47.257,27.942
107,13.665,13.665,15.769,-199.523,59.153
108,20.486,20.486,0.011,-9.478,14.391
109,44.068,43.292,35.561,-503.091,0.308
110,35.818,35.818,26.884,-537.305,0.206
111,32.405,32.405,21.589,-1086.356,-0.019
112,44.803,44.803,36.011,-1144.043,-0.104
113,39.157,39.157,31.245,-1124.979,-0.0
114,21.3,21.3,0.002,-9.812,14.509
115,12.556,12.556,0.002,-236.044,66.867
116,25.166,25.166,12.351,-1049.404,-0.011
117,27.282,27.282,14.75,-1059.001,-0.088
118,31.426,31.426,21.902,-606.234,0.018
119,19.409,19.409,21.902,-29.278,19.839
120,34.013,34.013,23.97,-1095.879,-0.009
121,29.263,29.263,19.886,-1079.546,-0.038
122,32.75,32.75,23.18,-1092.721,-0.104
123,43.205,43.205,34.709,-549.223,0.171
124,6.668,6.668,34.709,-443.032,89.622
125,31.178,31.178,21.835,-1087.339,-0.244
126,20.769,20.769,21.835,-27.907,19.527
127,11.043,11.043,21.835,-252.836,73.068
128,27.42,27.42,14.588,-1058.35,-0.032
129,9.913,9.913,14.588,-296.272,75.992
130,13.049,13.049,14.588,-167.51,61.494
131,10.296,10.296,14.588,-291.238,75.662
132,25.505,25.505,13.214,-603.226,0.025
133,43.769,43.769,36.083,-606.769,0.016
134,29.951,29.951,19.013,-1076.053,-0.175
135,42.361,42.361,34.033,-1136.134,-0.3
136,39.05,39.05,29.874,-1119.497,-0.152
